Current Designation,Department Affiliation,Years of Service,Specialization Areas,Academic Qualifications,Patent Count,Publication Records (Journals),Publication Records (Conferences),Research Project Involvement,Citation Metrics,Core Courses Count (CS),Electives Count (CS),Lab Courses Count (CS),Student Count per Course (CS),Interdisciplinary Courses (Non-CS),Foundation Courses (Non-CS),Student Count per Course (Non-CS),Subject Knowledge (1-10),Teaching Methodology (1-10),Communication Clarity (1-10),Student Engagement (1-10),Doubt Resolution (1-10),Semester-wise Performance Trends (1-10),Implementation of Previous Feedback (1-10),Teaching Innovation Metrics (1-10),Student Success Rates (1-10),Course Completion Effectiveness (1-10),New Designation,Future Designation
0,9,23,1,0,7,8,13,2,6011,2,2,1,80,0,2,56,8,8,3,1,5,6,4,5,9,5,0,4
0,3,5,1,3,10,41,29,4,7478,4,0,3,133,0,0,101,4,6,9,10,2,5,6,3,5,5,0,3
0,0,27,4,0,3,6,36,13,4960,4,3,1,86,0,4,96,2,4,8,4,5,2,3,5,10,2,0,1
0,8,29,0,0,5,31,8,17,3655,5,1,1,149,2,2,48,8,2,4,2,7,5,10,4,1,1,0,1
1,1,27,5,1,0,9,38,7,2709,4,1,4,26,1,5,143,6,3,7,4,9,2,4,9,5,9,0,1
0,5,11,4,3,5,47,34,4,3848,5,1,3,45,2,3,114,8,10,7,1,10,6,1,3,6,4,0,5
0,7,14,0,3,10,16,9,2,3254,4,1,1,78,2,1,23,8,1,10,6,9,1,1,10,2,7,0,5
0,5,16,0,1,4,0,6,16,5536,1,1,2,60,3,4,92,6,2,7,10,2,6,2,3,2,6,0,0
0,5,8,4,0,1,21,6,3,6534,2,3,5,132,3,2,67,4,2,2,4,8,7,1,7,1,6,0,3
0,5,5,0,3,1,47,0,17,698,1,3,2,142,1,3,117,5,6,5,1,4,4,9,7,2,7,0,3
2,8,14,4,3,4,38,38,4,9098,4,1,3,32,0,5,48,9,2,10,3,2,2,6,9,7,6,0,5
2,1,16,0,2,5,11,28,17,5655,5,0,2,69,3,5,128,7,7,3,8,9,5,5,1,4,7,0,0
